latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
18.91172,94.9364,315.03,1.81,1.32,2026-04-05,224,Terra,MODIS,45,6.1NRT,300.09,11.7,D
23.00855,96.338,311.85,1.64,1.26,2026-04-05,224,Terra,MODIS,58,6.1NRT,295.53,12.49,D
23.29079,96.75797,308.28,1.54,1.22,2026-04-05,224,Terra,MODIS,41,6.1NRT,295.04,7.18,D
23.01923,79.40757,316.77,1.19,1.08,2026-04-05,402,Terra,MODIS,54,6.1NRT,298.21,10.1,D
23.0512,79.63498,313.92,1.22,1.1,2026-04-05,402,Terra,MODIS,35,6.1NRT,297.65,5.94,D
23.16426,82.33922,314.59,1.82,1.32,2026-04-05,402,Terra,MODIS,48,6.1NRT,297.67,14.63,D
23.24802,78.67201,320.92,1.1,1.04,2026-04-05,402,Terra,MODIS,67,6.1NRT,303.34,8.34,D
23.30558,79.84431,320.52,1.24,1.11,2026-04-05,402,Terra,MODIS,68,6.1NRT,299.43,14.59,D
23.30762,79.85114,316.08,1.24,1.11,2026-04-05,402,Terra,MODIS,53,6.1NRT,299.3,8.67,D
23.32496,79.80631,318.62,1.24,1.1,2026-04-05,402,Terra,MODIS,65,6.1NRT,300.37,12.59,D
23.33855,79.9054,315.29,1.25,1.11,2026-04-05,402,Terra,MODIS,55,6.1NRT,300.32,8.44,D
23.34863,77.33759,330.28,1.01,1,2026-04-05,402,Terra,MODIS,79,6.1NRT,306.14,18.91,D
23.48299,76.84445,324.42,1,1,2026-04-05,402,Terra,MODIS,71,6.1NRT,307.61,11.33,D
23.52203,76.31658,322.12,1.01,1,2026-04-05,402,Terra,MODIS,67,6.1NRT,308.08,7.34,D
23.52736,76.8675,322.33,1,1,2026-04-05,402,Terra,MODIS,67,6.1NRT,306.72,9.62,D
23.55422,77.07269,319.24,1,1,2026-04-05,402,Terra,MODIS,60,6.1NRT,307.5,5.83,D
23.5875,75.57644,319.22,1.04,1.02,2026-04-05,402,Terra,MODIS,56,6.1NRT,305.96,6.44,D
23.60197,76.74066,322.18,1,1,2026-04-05,402,Terra,MODIS,67,6.1NRT,307.23,8.69,D
23.60332,76.73117,323.48,1,1,2026-04-05,402,Terra,MODIS,70,6.1NRT,307.11,10.03,D
23.60536,77.09095,320.11,1,1,2026-04-05,402,Terra,MODIS,62,6.1NRT,308.21,6.61,D
23.7008,76.82117,319.81,1,1,2026-04-05,402,Terra,MODIS,63,6.1NRT,307.71,6.34,D
23.72772,75.42222,321.49,1.05,1.02,2026-04-05,402,Terra,MODIS,63,6.1NRT,303.56,10.72,D
23.73893,77.13545,322.55,1,1,2026-04-05,402,Terra,MODIS,71,6.1NRT,306.29,10.16,D
23.76631,78.19327,319.94,1.05,1.02,2026-04-05,402,Terra,MODIS,67,6.1NRT,303.97,7.85,D
23.88174,77.09723,323.61,1,1,2026-04-05,402,Terra,MODIS,68,6.1NRT,305.5,11.51,D
23.88712,76.08629,336.14,1.01,1.01,2026-04-05,402,Terra,MODIS,85,6.1NRT,307.33,25.6,D
23.98044,75.53094,319.33,1.04,1.02,2026-04-05,402,Terra,MODIS,45,6.1NRT,305.89,8.09,D
24.0303,80.89124,316.01,1.4,1.17,2026-04-05,402,Terra,MODIS,33,6.1NRT,294.99,11.06,D
24.1162,74.98726,317.69,1.09,1.04,2026-04-05,402,Terra,MODIS,52,6.1NRT,303.58,5.66,D
24.29404,74.60875,321.62,1.13,1.06,2026-04-05,402,Terra,MODIS,66,6.1NRT,307.56,8.83,D
24.29541,74.59795,321.73,1.14,1.06,2026-04-05,402,Terra,MODIS,67,6.1NRT,307.46,9.19,D
24.60037,74.59462,320.44,1.14,1.07,2026-04-05,402,Terra,MODIS,65,6.1NRT,305.58,8.68,D
24.60972,74.59598,319.18,1.14,1.07,2026-04-05,402,Terra,MODIS,61,6.1NRT,306.03,7.5,D
24.6701,76.75075,319.75,1,1,2026-04-05,402,Terra,MODIS,65,6.1NRT,305.96,7.28,D
24.67348,77.06149,322.34,1,1,2026-04-05,402,Terra,MODIS,71,6.1NRT,303.33,11.8,D
24.83231,83.70633,312.12,2.11,1.41,2026-04-05,402,Terra,MODIS,34,6.1NRT,296.03,10.39,D
25.23568,77.19364,316.75,1,1,2026-04-05,402,Terra,MODIS,56,6.1NRT,304.25,6.46,D
27.2158,83.38402,335.34,1.78,1.31,2026-04-05,402,Terra,MODIS,88,6.1NRT,298.41,66.17,D
29.7139,79.12501,306.99,1.02,1.01,2026-04-05,402,Terra,MODIS,42,6.1NRT,292.98,5.25,D
12.6688,77.80404,312.53,1.34,1.15,2026-04-05,404,Terra,MODIS,45,6.1NRT,296.09,5.88,D
12.88641,77.85775,320.53,1.34,1.15,2026-04-05,404,Terra,MODIS,71,6.1NRT,297.97,14.66,D
12.88732,77.85155,316.01,1.34,1.15,2026-04-05,404,Terra,MODIS,47,6.1NRT,298.23,8.96,D
13.10813,78.81599,314.78,1.55,1.23,2026-04-05,404,Terra,MODIS,59,6.1NRT,296.95,10.91,D
